u,v,label,score,model,case,group
A000305,A000370,1,5.0,common_neighbors,case1,Heuristic
A000048,A000125,1,7.0,common_neighbors,case1,Heuristic
A000010,A000550,1,12.0,common_neighbors,case1,Heuristic
A000386,A000516,1,7.0,common_neighbors,case1,Heuristic
A000121,A000191,1,9.0,common_neighbors,case1,Heuristic
A000108,A000513,1,5.0,common_neighbors,case1,Heuristic
A000099,A000161,1,1.0,common_neighbors,case1,Heuristic
A000059,A000233,1,5.0,common_neighbors,case1,Heuristic
A000382,A000545,1,8.0,common_neighbors,case1,Heuristic
A000045,A000179,1,14.0,common_neighbors,case1,Heuristic
A000335,A000529,1,11.0,common_neighbors,case1,Heuristic
A000385,A000513,1,2.0,common_neighbors,case1,Heuristic
A000249,A000465,1,3.0,common_neighbors,case1,Heuristic
A000038,A000434,1,4.0,common_neighbors,case1,Heuristic
A000272,A000512,1,5.0,common_neighbors,case1,Heuristic
A000181,A000459,1,6.0,common_neighbors,case1,Heuristic
A000013,A000038,1,6.0,common_neighbors,case1,Heuristic
A000012,A000170,1,8.0,common_neighbors,case1,Heuristic
A000042,A000118,1,2.0,common_neighbors,case1,Heuristic
A000096,A000255,1,2.0,common_neighbors,case1,Heuristic
A000102,A000476,1,4.0,common_neighbors,case1,Heuristic
A000223,A000515,1,3.0,common_neighbors,case1,Heuristic
A000274,A000556,1,6.0,common_neighbors,case1,Heuristic
A000011,A000257,1,3.0,common_neighbors,case1,Heuristic
A000256,A000274,1,5.0,common_neighbors,case1,Heuristic
A000089,A000138,1,0.0,common_neighbors,case1,Heuristic
A000373,A000407,1,4.0,common_neighbors,case1,Heuristic
A000313,A000322,1,4.0,common_neighbors,case1,Heuristic
A000356,A000560,1,11.0,common_neighbors,case1,Heuristic
A000249,A000463,1,10.0,common_neighbors,case1,Heuristic
A000181,A000219,1,3.0,common_neighbors,case1,Heuristic
A000097,A000124,1,3.0,common_neighbors,case1,Heuristic
A000190,A000530,1,1.0,common_neighbors,case1,Heuristic
A000272,A000403,1,8.0,common_neighbors,case1,Heuristic
A000122,A000256,1,2.0,common_neighbors,case1,Heuristic
A000477,A000569,1,1.0,common_neighbors,case1,Heuristic
A000004,A000383,1,6.0,common_neighbors,case1,Heuristic
A000404,A000432,1,3.0,common_neighbors,case1,Heuristic
A000474,A000518,1,9.0,common_neighbors,case1,Heuristic
A000067,A000161,1,2.0,common_neighbors,case1,Heuristic
A000354,A000481,1,3.0,common_neighbors,case1,Heuristic
A000181,A000493,1,7.0,common_neighbors,case1,Heuristic
A000143,A000436,1,12.0,common_neighbors,case1,Heuristic
A000122,A000217,1,2.0,common_neighbors,case1,Heuristic
A000065,A000378,1,3.0,common_neighbors,case1,Heuristic
A000095,A000197,1,7.0,common_neighbors,case1,Heuristic
A000412,A000527,1,2.0,common_neighbors,case1,Heuristic
A000143,A000233,1,2.0,common_neighbors,case1,Heuristic
A000045,A000137,1,11.0,common_neighbors,case1,Heuristic
A000041,A000329,1,3.0,common_neighbors,case1,Heuristic
A000169,A000274,1,4.0,common_neighbors,case1,Heuristic
A000043,A000443,1,12.0,common_neighbors,case1,Heuristic
A000158,A000276,1,3.0,common_neighbors,case1,Heuristic
A000145,A000285,1,3.0,common_neighbors,case1,Heuristic
A000276,A000426,1,2.0,common_neighbors,case1,Heuristic
A000114,A000514,1,2.0,common_neighbors,case1,Heuristic
A000475,A000481,1,1.0,common_neighbors,case1,Heuristic
A000019,A000105,1,6.0,common_neighbors,case1,Heuristic
A000380,A000547,1,8.0,common_neighbors,case1,Heuristic
A000193,A000479,1,9.0,common_neighbors,case1,Heuristic
A000245,A000351,1,1.0,common_neighbors,case1,Heuristic
A000054,A000280,1,5.0,common_neighbors,case1,Heuristic
A000168,A000332,1,4.0,common_neighbors,case1,Heuristic
A000034,A000137,1,10.0,common_neighbors,case1,Heuristic
A000254,A000257,1,2.0,common_neighbors,case1,Heuristic
A000126,A000391,1,7.0,common_neighbors,case1,Heuristic
A000297,A000348,1,3.0,common_neighbors,case1,Heuristic
A000286,A000432,1,4.0,common_neighbors,case1,Heuristic
A000158,A000426,1,3.0,common_neighbors,case1,Heuristic
A000263,A000424,1,2.0,common_neighbors,case1,Heuristic
A000087,A000298,1,5.0,common_neighbors,case1,Heuristic
A000362,A000422,1,9.0,common_neighbors,case1,Heuristic
A000030,A000174,1,2.0,common_neighbors,case1,Heuristic
A000019,A000554,1,8.0,common_neighbors,case1,Heuristic
A000323,A000412,1,5.0,common_neighbors,case1,Heuristic
A000100,A000197,1,3.0,common_neighbors,case1,Heuristic
A000424,A000478,1,8.0,common_neighbors,case1,Heuristic
A000125,A000403,1,9.0,common_neighbors,case1,Heuristic
A000034,A000274,1,12.0,common_neighbors,case1,Heuristic
A000102,A000532,1,4.0,common_neighbors,case1,Heuristic
A000044,A000454,1,5.0,common_neighbors,case1,Heuristic
A000192,A000195,1,6.0,common_neighbors,case1,Heuristic
A000303,A000451,1,10.0,common_neighbors,case1,Heuristic
A000159,A000256,1,4.0,common_neighbors,case1,Heuristic
A000070,A000284,1,2.0,common_neighbors,case1,Heuristic
A000162,A000187,1,7.0,common_neighbors,case1,Heuristic
A000156,A000343,1,3.0,common_neighbors,case1,Heuristic
A000093,A000333,1,4.0,common_neighbors,case1,Heuristic
A000333,A000466,1,1.0,common_neighbors,case1,Heuristic
A000115,A000381,1,6.0,common_neighbors,case1,Heuristic
A000357,A000465,1,3.0,common_neighbors,case1,Heuristic
A000345,A000439,1,3.0,common_neighbors,case1,Heuristic
A000311,A000487,1,9.0,common_neighbors,case1,Heuristic
A000031,A000331,1,2.0,common_neighbors,case1,Heuristic
A000281,A000351,1,2.0,common_neighbors,case1,Heuristic
A000303,A000422,1,10.0,common_neighbors,case1,Heuristic
A000076,A000406,1,8.0,common_neighbors,case1,Heuristic
A000242,A000398,1,4.0,common_neighbors,case1,Heuristic
A000380,A000537,1,2.0,common_neighbors,case1,Heuristic
A000108,A000484,1,3.0,common_neighbors,case1,Heuristic
A000071,A000127,1,4.0,common_neighbors,case1,Heuristic
A000195,A000309,1,7.0,common_neighbors,case1,Heuristic
A000168,A000546,1,4.0,common_neighbors,case1,Heuristic
A000116,A000522,1,9.0,common_neighbors,case1,Heuristic
A000305,A000516,1,7.0,common_neighbors,case1,Heuristic
A000348,A000537,1,2.0,common_neighbors,case1,Heuristic
A000255,A000387,1,5.0,common_neighbors,case1,Heuristic
A000096,A000495,1,6.0,common_neighbors,case1,Heuristic
A000346,A000508,1,3.0,common_neighbors,case1,Heuristic
A000141,A000259,1,9.0,common_neighbors,case1,Heuristic
A000416,A000515,1,4.0,common_neighbors,case1,Heuristic
A000425,A000515,1,6.0,common_neighbors,case1,Heuristic
A000025,A000330,1,1.0,common_neighbors,case1,Heuristic
A000100,A000425,1,4.0,common_neighbors,case1,Heuristic
A000514,A000569,1,5.0,common_neighbors,case1,Heuristic
A000013,A000096,1,5.0,common_neighbors,case1,Heuristic
A000474,A000487,1,8.0,common_neighbors,case1,Heuristic
A000139,A000206,1,3.0,common_neighbors,case1,Heuristic
A000177,A000242,1,5.0,common_neighbors,case1,Heuristic
A000116,A000192,1,7.0,common_neighbors,case1,Heuristic
A000029,A000171,1,5.0,common_neighbors,case1,Heuristic
A000093,A000442,1,9.0,common_neighbors,case1,Heuristic
A000258,A000407,1,7.0,common_neighbors,case1,Heuristic
A000373,A000515,1,6.0,common_neighbors,case1,Heuristic
A000139,A000143,1,10.0,common_neighbors,case1,Heuristic
A000094,A000143,1,4.0,common_neighbors,case1,Heuristic
A000320,A000430,1,5.0,common_neighbors,case1,Heuristic
A000214,A000511,1,3.0,common_neighbors,case1,Heuristic
A000174,A000274,1,4.0,common_neighbors,case1,Heuristic
A000308,A000381,1,8.0,common_neighbors,case1,Heuristic
A000193,A000444,1,8.0,common_neighbors,case1,Heuristic
A000061,A000343,1,3.0,common_neighbors,case1,Heuristic
A000114,A000531,1,1.0,common_neighbors,case1,Heuristic
A000109,A000255,1,8.0,common_neighbors,case1,Heuristic
A000391,A000420,1,2.0,common_neighbors,case1,Heuristic
A000256,A000291,1,3.0,common_neighbors,case1,Heuristic
A000248,A000300,1,5.0,common_neighbors,case1,Heuristic
A000114,A000367,1,3.0,common_neighbors,case1,Heuristic
A000391,A000559,1,6.0,common_neighbors,case1,Heuristic
A000269,A000467,1,4.0,common_neighbors,case1,Heuristic
A000183,A000490,1,4.0,common_neighbors,case1,Heuristic
A000268,A000473,1,6.0,common_neighbors,case1,Heuristic
A000176,A000212,1,3.0,common_neighbors,case1,Heuristic
A000158,A000428,1,9.0,common_neighbors,case1,Heuristic
A000096,A000434,1,3.0,common_neighbors,case1,Heuristic
A000058,A000284,1,3.0,common_neighbors,case1,Heuristic
A000226,A000375,1,7.0,common_neighbors,case1,Heuristic
A000210,A000322,1,2.0,common_neighbors,case1,Heuristic
A000040,A000342,1,7.0,common_neighbors,case1,Heuristic
A000401,A000549,1,5.0,common_neighbors,case1,Heuristic
A000020,A000378,1,5.0,common_neighbors,case1,Heuristic
A000047,A000411,1,6.0,common_neighbors,case1,Heuristic
A000064,A000435,1,8.0,common_neighbors,case1,Heuristic
A000296,A000306,1,3.0,common_neighbors,case1,Heuristic
A000067,A000220,1,1.0,common_neighbors,case1,Heuristic
A000443,A000518,1,11.0,common_neighbors,case1,Heuristic
A000342,A000373,1,6.0,common_neighbors,case1,Heuristic
A000181,A000467,1,6.0,common_neighbors,case1,Heuristic
A000274,A000369,1,4.0,common_neighbors,case1,Heuristic
A000028,A000409,1,7.0,common_neighbors,case1,Heuristic
A000170,A000274,1,7.0,common_neighbors,case1,Heuristic
A000169,A000380,1,4.0,common_neighbors,case1,Heuristic
A000274,A000349,1,6.0,common_neighbors,case1,Heuristic
A000197,A000320,1,7.0,common_neighbors,case1,Heuristic
A000239,A000332,1,3.0,common_neighbors,case1,Heuristic
A000110,A000213,1,7.0,common_neighbors,case1,Heuristic
