u,v,label,score,model,case,group
A000295,A000421,1,0.9999999999230522,Node2Vec+LR(Hadamard),case2,Embedding
A000204,A000280,1,0.9999867965016366,Node2Vec+LR(Hadamard),case2,Embedding
A000232,A000406,1,0.9999993216587358,Node2Vec+LR(Hadamard),case2,Embedding
A000121,A000520,1,0.9968150579477527,Node2Vec+LR(Hadamard),case2,Embedding
A000304,A000402,1,0.9990620922725222,Node2Vec+LR(Hadamard),case2,Embedding
A000109,A000333,1,0.9787362439620843,Node2Vec+LR(Hadamard),case2,Embedding
A000113,A000288,1,0.9998538575930552,Node2Vec+LR(Hadamard),case2,Embedding
A000191,A000249,1,0.38861055335598543,Node2Vec+LR(Hadamard),case2,Embedding
A000199,A000330,1,0.9372209807716807,Node2Vec+LR(Hadamard),case2,Embedding
A000067,A000074,1,0.999994683533167,Node2Vec+LR(Hadamard),case2,Embedding
A000190,A000369,1,0.0188562164676741,Node2Vec+LR(Hadamard),case2,Embedding
A000343,A000423,1,0.9971884560557688,Node2Vec+LR(Hadamard),case2,Embedding
A000183,A000398,1,0.11871379812992727,Node2Vec+LR(Hadamard),case2,Embedding
A000223,A000449,1,0.829920173909494,Node2Vec+LR(Hadamard),case2,Embedding
A000282,A000545,1,0.9898901160602779,Node2Vec+LR(Hadamard),case2,Embedding
A000189,A000308,1,0.30961652199806716,Node2Vec+LR(Hadamard),case2,Embedding
A000139,A000391,1,0.0016537756924230416,Node2Vec+LR(Hadamard),case2,Embedding
A000274,A000347,1,0.4094257901283413,Node2Vec+LR(Hadamard),case2,Embedding
A000255,A000472,1,0.813879554141426,Node2Vec+LR(Hadamard),case2,Embedding
A000383,A000506,1,0.22166623785997633,Node2Vec+LR(Hadamard),case2,Embedding
A000196,A000401,1,0.11717838950921702,Node2Vec+LR(Hadamard),case2,Embedding
A000056,A000265,1,0.980554898457261,Node2Vec+LR(Hadamard),case2,Embedding
A000192,A000351,1,0.34703916236075066,Node2Vec+LR(Hadamard),case2,Embedding
A000052,A000074,1,0.9999999031463456,Node2Vec+LR(Hadamard),case2,Embedding
A000109,A000475,1,0.9572529727440019,Node2Vec+LR(Hadamard),case2,Embedding
A000255,A000412,1,0.14337034265467788,Node2Vec+LR(Hadamard),case2,Embedding
A000385,A000416,1,0.028199529840349458,Node2Vec+LR(Hadamard),case2,Embedding
A000196,A000380,1,0.5105653770074107,Node2Vec+LR(Hadamard),case2,Embedding
A000230,A000503,1,0.9663094413665575,Node2Vec+LR(Hadamard),case2,Embedding
A000080,A000244,1,0.8704931438942286,Node2Vec+LR(Hadamard),case2,Embedding
A000096,A000256,1,0.04743992970717767,Node2Vec+LR(Hadamard),case2,Embedding
A000183,A000190,1,0.5714966060561663,Node2Vec+LR(Hadamard),case2,Embedding
A000047,A000253,1,0.9975375369885375,Node2Vec+LR(Hadamard),case2,Embedding
A000004,A000351,1,0.5649387989971084,Node2Vec+LR(Hadamard),case2,Embedding
A000320,A000493,1,0.4364492946155929,Node2Vec+LR(Hadamard),case2,Embedding
A000063,A000177,1,0.42533574930705365,Node2Vec+LR(Hadamard),case2,Embedding
A000108,A000194,1,0.9998321337689116,Node2Vec+LR(Hadamard),case2,Embedding
A000176,A000381,1,0.7510499624185969,Node2Vec+LR(Hadamard),case2,Embedding
A000210,A000548,1,0.9999689474984461,Node2Vec+LR(Hadamard),case2,Embedding
A000170,A000233,1,0.02550282001180892,Node2Vec+LR(Hadamard),case2,Embedding
A000087,A000546,1,0.5871069044445367,Node2Vec+LR(Hadamard),case2,Embedding
A000262,A000373,1,0.01632578633641836,Node2Vec+LR(Hadamard),case2,Embedding
A000298,A000523,1,0.9987641642815951,Node2Vec+LR(Hadamard),case2,Embedding
A000179,A000496,1,0.894307980835405,Node2Vec+LR(Hadamard),case2,Embedding
A000192,A000307,1,0.9997121552498822,Node2Vec+LR(Hadamard),case2,Embedding
A000031,A000464,1,0.9780678077050761,Node2Vec+LR(Hadamard),case2,Embedding
A000281,A000484,1,0.8526967998851224,Node2Vec+LR(Hadamard),case2,Embedding
A000421,A000511,1,0.999999996335859,Node2Vec+LR(Hadamard),case2,Embedding
A000464,A000563,1,0.9999428075921465,Node2Vec+LR(Hadamard),case2,Embedding
A000020,A000114,1,0.8921838545480268,Node2Vec+LR(Hadamard),case2,Embedding
A000010,A000526,1,0.947106073167124,Node2Vec+LR(Hadamard),case2,Embedding
A000063,A000170,1,0.4604780825933174,Node2Vec+LR(Hadamard),case2,Embedding
A000089,A000141,1,0.2788473006817951,Node2Vec+LR(Hadamard),case2,Embedding
A000413,A000513,1,0.9866845120971441,Node2Vec+LR(Hadamard),case2,Embedding
A000137,A000179,1,0.9960763504228467,Node2Vec+LR(Hadamard),case2,Embedding
A000334,A000503,1,0.9198827419002193,Node2Vec+LR(Hadamard),case2,Embedding
A000104,A000569,1,0.9998039038845483,Node2Vec+LR(Hadamard),case2,Embedding
A000391,A000560,1,0.4558024894177064,Node2Vec+LR(Hadamard),case2,Embedding
A000143,A000162,1,0.9997060078095485,Node2Vec+LR(Hadamard),case2,Embedding
A000381,A000480,1,0.7310981579926686,Node2Vec+LR(Hadamard),case2,Embedding
A000301,A000381,1,0.9974804582736154,Node2Vec+LR(Hadamard),case2,Embedding
A000329,A000453,1,0.9996586295414507,Node2Vec+LR(Hadamard),case2,Embedding
A000230,A000334,1,0.6809080870007909,Node2Vec+LR(Hadamard),case2,Embedding
A000124,A000238,1,0.12037734657970513,Node2Vec+LR(Hadamard),case2,Embedding
A000037,A000206,1,0.9996761790167729,Node2Vec+LR(Hadamard),case2,Embedding
A000321,A000531,1,0.9720066192040557,Node2Vec+LR(Hadamard),case2,Embedding
A000076,A000240,1,0.9985772881713652,Node2Vec+LR(Hadamard),case2,Embedding
A000198,A000445,1,0.9990519722088878,Node2Vec+LR(Hadamard),case2,Embedding
A000227,A000333,1,0.9042207275294237,Node2Vec+LR(Hadamard),case2,Embedding
A000391,A000480,1,0.4658925130739423,Node2Vec+LR(Hadamard),case2,Embedding
A000335,A000474,1,0.9633951934410393,Node2Vec+LR(Hadamard),case2,Embedding
A000189,A000281,1,0.2206986863998487,Node2Vec+LR(Hadamard),case2,Embedding
A000416,A000500,1,0.9790334972094641,Node2Vec+LR(Hadamard),case2,Embedding
A000196,A000440,1,0.9925354443927804,Node2Vec+LR(Hadamard),case2,Embedding
A000141,A000155,1,0.9289387734200856,Node2Vec+LR(Hadamard),case2,Embedding
A000320,A000325,1,0.9765418172534193,Node2Vec+LR(Hadamard),case2,Embedding
A000418,A000459,1,0.998859891759268,Node2Vec+LR(Hadamard),case2,Embedding
A000265,A000566,1,0.9963167823621956,Node2Vec+LR(Hadamard),case2,Embedding
A000366,A000554,1,0.999535361038675,Node2Vec+LR(Hadamard),case2,Embedding
A000364,A000381,1,0.9985246999216325,Node2Vec+LR(Hadamard),case2,Embedding
A000125,A000179,1,0.6923961914255243,Node2Vec+LR(Hadamard),case2,Embedding
A000134,A000165,1,0.9173341061422555,Node2Vec+LR(Hadamard),case2,Embedding
A000001,A000107,1,0.9998809511696043,Node2Vec+LR(Hadamard),case2,Embedding
A000250,A000350,1,0.9927821978537162,Node2Vec+LR(Hadamard),case2,Embedding
A000177,A000476,1,0.6936858480579475,Node2Vec+LR(Hadamard),case2,Embedding
