u,v,label,score,model,case,group
A000295,A000421,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000204,A000280,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000232,A000406,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000121,A000520,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000304,A000402,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000109,A000333,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000113,A000288,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000191,A000249,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000199,A000330,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000067,A000074,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000190,A000369,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000343,A000423,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000183,A000398,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000223,A000449,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000282,A000545,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000189,A000308,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000139,A000391,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000274,A000347,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000255,A000472,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000383,A000506,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000196,A000401,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000056,A000265,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000192,A000351,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000052,A000074,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000109,A000475,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000255,A000412,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000385,A000416,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000196,A000380,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000230,A000503,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000080,A000244,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000096,A000256,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000183,A000190,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000047,A000253,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000004,A000351,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000320,A000493,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000063,A000177,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000108,A000194,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
A000176,A000381,1.0,0.5,GCN(2-layer)+Dot,case2,GCN
