u,v,label,score,model,group,case
A000305,A000370,1,0.41831666826364156,LR(handcrafted),ML(handcrafted),case1
A000048,A000125,1,0.5009462374205705,LR(handcrafted),ML(handcrafted),case1
A000010,A000550,1,0.6945269376686157,LR(handcrafted),ML(handcrafted),case1
A000386,A000516,1,0.5730111999694445,LR(handcrafted),ML(handcrafted),case1
A000121,A000191,1,0.6915654020363041,LR(handcrafted),ML(handcrafted),case1
A000108,A000513,1,0.30854615524761086,LR(handcrafted),ML(handcrafted),case1
A000099,A000161,1,0.04367433859290995,LR(handcrafted),ML(handcrafted),case1
A000059,A000233,1,0.7094619382095334,LR(handcrafted),ML(handcrafted),case1
A000382,A000545,1,0.9404951442863966,LR(handcrafted),ML(handcrafted),case1
A000045,A000179,1,0.8334071612769659,LR(handcrafted),ML(handcrafted),case1
A000335,A000529,1,0.9223343253961976,LR(handcrafted),ML(handcrafted),case1
A000385,A000513,1,0.026038931039597146,LR(handcrafted),ML(handcrafted),case1
A000249,A000465,1,0.18669316602274894,LR(handcrafted),ML(handcrafted),case1
A000038,A000434,1,0.4808484834595567,LR(handcrafted),ML(handcrafted),case1
A000272,A000512,1,0.4695504012751532,LR(handcrafted),ML(handcrafted),case1
A000181,A000459,1,0.45351958982987606,LR(handcrafted),ML(handcrafted),case1
A000013,A000038,1,0.9141626450235274,LR(handcrafted),ML(handcrafted),case1
A000012,A000170,1,0.36872324677298457,LR(handcrafted),ML(handcrafted),case1
A000042,A000118,1,0.31549544174219996,LR(handcrafted),ML(handcrafted),case1
A000096,A000255,1,0.08637284229591385,LR(handcrafted),ML(handcrafted),case1
A000102,A000476,1,0.2511211439923554,LR(handcrafted),ML(handcrafted),case1
A000223,A000515,1,0.12131248661933945,LR(handcrafted),ML(handcrafted),case1
A000274,A000556,1,0.22326402793353142,LR(handcrafted),ML(handcrafted),case1
A000011,A000257,1,0.44528770635875586,LR(handcrafted),ML(handcrafted),case1
A000256,A000274,1,0.4245466186765319,LR(handcrafted),ML(handcrafted),case1
A000089,A000138,1,2.610253480428534e-05,LR(handcrafted),ML(handcrafted),case1
A000373,A000407,1,0.36486197500014955,LR(handcrafted),ML(handcrafted),case1
A000313,A000322,1,0.5913997364253614,LR(handcrafted),ML(handcrafted),case1
A000356,A000560,1,0.8822351046816339,LR(handcrafted),ML(handcrafted),case1
A000249,A000463,1,0.834266410462037,LR(handcrafted),ML(handcrafted),case1
A000181,A000219,1,0.8453561744795717,LR(handcrafted),ML(handcrafted),case1
A000097,A000124,1,0.19973242753544007,LR(handcrafted),ML(handcrafted),case1
A000190,A000530,1,0.03606366414498134,LR(handcrafted),ML(handcrafted),case1
A000272,A000403,1,0.5862125489255885,LR(handcrafted),ML(handcrafted),case1
A000122,A000256,1,0.10087854085689833,LR(handcrafted),ML(handcrafted),case1
A000477,A000569,1,0.038598409178577264,LR(handcrafted),ML(handcrafted),case1
A000004,A000383,1,0.17848978649302574,LR(handcrafted),ML(handcrafted),case1
A000404,A000432,1,0.09973670356890979,LR(handcrafted),ML(handcrafted),case1
A000474,A000518,1,0.7963484229116193,LR(handcrafted),ML(handcrafted),case1
A000067,A000161,1,0.4474711175582456,LR(handcrafted),ML(handcrafted),case1
A000354,A000481,1,0.08249800839425818,LR(handcrafted),ML(handcrafted),case1
A000181,A000493,1,0.854318013898224,LR(handcrafted),ML(handcrafted),case1
A000143,A000436,1,0.9379899714470651,LR(handcrafted),ML(handcrafted),case1
