STT,Diễn viên,Link_Wikipedia,Họ và tên,Ngày sinh,Quốc tịch,Nghề nghiệp,Năm hoạt động,Link ảnh
84,hoài linh,https://vi.wikipedia.org/wiki/Ho%C3%A0i_Linh,Võ Nguyễn Hoài Linh[1],"Võ Nguyễn Hoài Linh[1]; 18 tháng 12, 1969 (55 tuổi); Cam Ranh, Khánh Hòa, Việt Nam Cộng hòa",Việt Nam,Diễn viênNghệ sĩ hài,1987–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HoaiLinhin2020.jpg
85,hoài lâm,https://vi.wikipedia.org/wiki/Ho%C3%A0i_L%C3%A2m,Nguyễn Tuấn Lộc,"1 tháng 7, 1995 ",Việt Nam,"Ca sĩ, Diễn viên",,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HOAI_LAM_2022.jpg
86,hoàng anh duy,,,,Việt Nam,Đạo diễn,,
87,hoàng hà,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_H%C3%A0_(di%E1%BB%85n_vi%C3%AAn),,"11 tháng 12, 1996 ",Việt Nam,Diễn viên,2015–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HO%C3%80NG_H%C3%80_(cropped).jpg
88,hoàng kim ngọc,,Hoàng Kim Ngọc,1990,Việt Nam,"Diễn viên, CEO", 2010s - nay,
89,hoàng linh,,,,Việt Nam,Diễn viên,,
90,hoàng long,,Vương Hoàng Long,,Việt Nam,Diễn viên,,
91,hoàng mai anh,,Hoàng Mai Anh,1994,Việt Nam,"Diễn viên, Vũ công", 2013 - nay,
92,hoàng minh triết,,,,Việt Nam,Diễn viên,,
93,hoàng mèo,,Nguyễn Lê Hoàng,1982,Việt Nam,"Diễn viên, Nghệ sĩ hài",2000s - nay,
94,hoàng oanh,,Huỳnh Kim Chi,"6 tháng 11, 1946",Việt Nam,"Danh ca, Diễn viên",1950s - nay,
95,hoàng phi,,Lê Hoàng Phi,1989,Việt Nam,"Diễn viên, MC", 2000s - nay,
96,hoàng sơn,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_S%C6%A1n_(di%E1%BB%85n_vi%C3%AAn),,,Việt Nam,,1985 - nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Ho%C3%A0ng_S%C6%A1n_(di%E1%BB%85n_vi%C3%AAn).png
97,hoàng thùy linh,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_Th%C3%B9y_Linh,Hoàng Thùy Linh,"11 tháng 8, 1988 (37 tuổi)",Việt Nam,Ca sĩDiễn viênNgười mẫu,2004–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HOANG_THUY_LINH.jpg
98,hoàng trinh,,Nguyễn Thị Hoàng Trinh,"14 tháng 2, 1968",Việt Nam,"Diễn viên kịch/điện ảnh, MC",1988 - nay,
99,hoàng yến chibi,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_Y%E1%BA%BFn_Chibi,Nguyễn Hoàng Yến,"8 tháng 12, 1995 (29 tuổi)",Việt Nam,Ca sĩDiễn viênNgười dẫn chương trình,2010–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HO%C3%80NG_Y%E1%BA%BEN_CHIBI_P2.jpg
100,huy anh,,,,Việt Nam,Diễn viên,,
101,huy khánh,https://vi.wikipedia.org/wiki/Huy_Kh%C3%A1nh,Trần Phan Huy Khánh,"Trần Phan Huy Khánh; 7 tháng 1, 1981 (44 tuổi); Thành phố Hồ Chí Minh, Việt Nam",Việt Nam,Diễn viênNgười dẫn chương trình,2000 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Huy_Kh%C3%A1nh.png
102,huyme,https://vi.wikipedia.org/wiki/Huyme,Phạm Công Thành,"1 tháng 3, 1993 (32 tuổi)",Việt Nam,Vlogger; Diễn viên,2011 – nay,
103,huỳnh anh tuấn,https://vi.wikipedia.org/wiki/Hu%E1%BB%B3nh_Anh_Tu%E1%BA%A5n,,,Việt Nam,,1989 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Huynhanhtuan_(cropped).jpg
104,huỳnh chillhuyn,,Huỳnh Nguyễn Bảo Thi,2014,Việt Nam,"Diễn viên nhí, Người mẫu",2021 - nay,
105,huỳnh hạo khang,,Huỳnh Hạo Khang,2010,Việt Nam,"Diễn viên nhí, Ca sĩ",2020 - nay,
106,huỳnh lập,https://vi.wikipedia.org/wiki/Hu%E1%BB%B3nh_L%E1%BA%ADp,Huỳnh Ngọc Lập,"17 tháng 5, 1993",Việt Nam,"Diễn viên,Nghệ sĩ hài, Doanh nhân,Nhà làm phim",2012–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Huynh_Lap_(2018).png
107,huỳnh mai cát tiên,,,,Việt Nam,Diễn viên,,
108,huỳnh như,,Bùi Ngọc Huỳnh Như,1998,Việt Nam,Diễn viên,2010s - nay,
109,huỳnh phương,,Nguyễn Huỳnh Duy Phương,"11 tháng 12, 1992",Việt Nam,"Diễn viên hài, YouTuber (FAPtv)", 2014 - nay,
110,huỳnh thanh trực,,Huỳnh Thanh Trực,1995,Việt Nam,Diễn viên,2017 - nay,
111,huỳnh thi,,Huỳnh Thi,,Việt Nam,Diễn viên,2023 - nay,
112,huỳnh tú uyên,,Tú Uyên,1991,Việt Nam,"Diễn viên, Người mẫu",2014 - nay,
113,huỳnh đông,https://vi.wikipedia.org/wiki/Hu%E1%BB%B3nh_%C4%90%C3%B4ng,Phạm Huỳnh Đông," 5 tháng 11, 1983 (41 tuổi)",Việt Nam,Diễn viên,2004 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HuynhDong1983.jpg
114,hà linh,,Phạm Hà Linh,1973,Việt Nam,"Diễn viên hài, Kịch",1990s - nay,
115,hà thu nguyệt,,,,Việt Nam,Diễn viên,,
116,hà trung,,,,Việt Nam,Diễn viên,,
117,hà việt dũng,https://vi.wikipedia.org/wiki/H%C3%A0_Vi%E1%BB%87t_D%C5%A9ng,Hà Việt Dũng,"19 tháng 8, 1987 (38 tuổi)",Việt Nam,Người mẫudiễn viên,2011–nay,https://golives3.s3.amazonaws.com/2022/11/22299_7fa78473266f80a1af213114298d9e49.png
118,hà văn hiếu,,Hà Văn Hiếu,,Việt Nam,"Đô vật, Diễn viên",2022 - nay,
119,hòa minzy,https://vi.wikipedia.org/wiki/H%C3%B2a_Minzy,Nguyễn Thị Hòa," 31 tháng 5, 1995 ",Việt Nam,"Ca sĩ, Người dẫn chương trình, Diễn viên",2014–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:H%C3%B2a_Minzy.png
120,hùng anh,,,,Việt Nam,Diễn viên,2024 - nay,
121,hương giang,"https://vi.wikipedia.org/wiki/H%C6%B0%C6%A1ng_Giang_(ca_s%C4%A9,_MC,_hoa_h%E1%BA%ADu)",Nguyễn Ngọc Hiếu,"29 tháng 12, 1991 (33 tuổi)",Việt Nam,Ca sĩDiễn viênNgười mẫuNhân vật truyền hình,2010–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Huong_Giang_in_2015_(cropped).png
122,hạ anh,,Lê Hạ Anh,"31 tháng 8, 1995",Việt Nam,Diễn viên,2014 - nay,
123,hạnh thúy,https://vi.wikipedia.org/wiki/H%E1%BA%A1nh_Th%C3%BAy,Ngô Phạm Hạnh Thúy,"26 tháng 11, 1976 ",Việt Nam,"Diễn viên,Đạo diễn sân khấu,Nhà biên kịch",1997 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Hanh_thuy.jpg
124,hải anh,,Nguyễn Vũ Hải Anh,1974,Việt Nam,Diễn viên,,
125,hải nam,,,1996,Việt Nam,"Diễn viên, Ca sĩ, Người mẫu",2019 - nay,
126,hải ngân brianna,,,,Việt Nam,Diễn viên,,
127,hải quân,,,,Việt Nam,Diễn viên,,
128,hải triều,, Đào Hải Triều,"6 tháng 6, 1990",Việt Nam,"Diễn viên hài, Kịch",2010s - nay,
129,hồ minh khuê,,Ammy Minh Khuê,1985,Việt Nam,"Diễn viên, Ca sĩ, MC",2000s - nay,
130,hồ minh ngọc,,,,Việt Nam,Diễn viên,,
131,hồ quang,,,,Việt Nam,Diễn viên,,
132,hồ quang mẫn,,Hồ Quang Mẫn,1977,Việt Nam,"Diễn viên, Người mẫu",2010s - nay,
133,hồ thu anh,,Hồ Thu Anh,1994,Việt Nam,"Diễn viên, Người mẫu, Fashionista",2019 - nay,
134,hồ thành trung,,Hồ Thành Trung,,Việt Nam,Diễn viên,2017 - nay,
135,hồ đông quan,,Hồ Đông Quan,1999,Việt Nam,"Diễn viên, Ca sĩ",2024 - nay ,
136,hồng thu,,Hồng Thu,2011,Việt Nam,"Diễn viên nhí, Người mẫu nhí",2016 - nay,
137,hồng ánh,https://vi.wikipedia.org/wiki/H%E1%BB%93ng_%C3%81nh,Phạm Thị Hồng Ánh," 28 tháng 8, 1977 (48 tuổi)",Việt Nam,Diễn viên,1995–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Hong_Anh.png
138,hồng ân,,Lý Hồng Ân,1997,Việt Nam,Diễn viên,2010s - nay,
139,hồng đào,https://vi.wikipedia.org/wiki/H%E1%BB%93ng_%C4%90%C3%A0o_(di%E1%BB%85n_vi%C3%AAn),Nguyễn Đình Hồng Đào," 25 tháng 9, 1962 ",Việt Nam,Diễn viên,1981 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Hongdao.jpg
140,hứa minh đạt,,Hứa Minh Đạt,26 tháng 11 năm 1982,Việt Nam,Diễn viên,,https://i1-giaitri.vnecdn.net/2019/10/18/hua-minh-dat-2-5243-1571381231.jpg?w=1020&h=0&q=100&dpr=1&fit=crop&s=YFN9R09FC-mTJWknlo9qoA
